PROPER NOUNS IN GRIFFITH RIGVEDA TRANSLATION
================================================================================

Total unique proper nouns (>= 5 occurrences): 921

273. Manyu                (  20 occurrences)
274. LET                  (  19 occurrences)
275. Singers              (  19 occurrences)
276. Bhrgus               (  19 occurrences)
277. Mightiest            (  19 occurrences)
278. Tribes               (  19 occurrences)
279. Plants               (  19 occurrences)
280. Effused              (  19 occurrences)
281. Bringing             (  18 occurrences)
282. Wide                 (  18 occurrences)
283. Sweet                (  18 occurrences)
284. Dear                 (  18 occurrences)
285. Gandharva            (  18 occurrences)
286. Tugra                (  18 occurrences)
287. Vata                 (  18 occurrences)
288. Set                  (  18 occurrences)
289. Sister               (  18 occurrences)
290. Infant               (  18 occurrences)
291. Auspicious           (  18 occurrences)
292. Thence               (  18 occurrences)
293. Ten                  (  18 occurrences)
294. Therefore            (  17 occurrences)
295. Whatever             (  17 occurrences)
296. Whether              (  17 occurrences)
297. Divine               (  17 occurrences)
298. Lovers               (  17 occurrences)
299. Streams              (  17 occurrences)
300. True                 (  17 occurrences)
301. Lead                 (  17 occurrences)
302. Helper               (  17 occurrences)
303. Upon                 (  17 occurrences)
304. Victorious           (  17 occurrences)
305. HE                   (  17 occurrences)
306. Vajas                (  17 occurrences)
307. Divodasa             (  17 occurrences)
308. Lofty                (  17 occurrences)
309. Eager                (  17 occurrences)
310. Wonderful            (  17 occurrences)
311. Adhvaryus            (  17 occurrences)
312. Panis                (  17 occurrences)
313. Pure                 (  17 occurrences)
314. Wealthy              (  16 occurrences)
315. House                (  16 occurrences)
316. Aditya               (  16 occurrences)
317. Before               (  16 occurrences)
318. Light                (  16 occurrences)
319. Asuras               (  16 occurrences)
320. Vaja                 (  16 occurrences)
321. Trasadasyu           (  16 occurrences)
322. Blessed              (  16 occurrences)
323. Full                 (  16 occurrences)
324. Princes              (  16 occurrences)
325. Stones               (  16 occurrences)
326. COME                 (  15 occurrences)
327. Dame                 (  15 occurrences)
328. Ne                   (  15 occurrences)
329. FOR                  (  15 occurrences)
330. Together             (  15 occurrences)
331. Giving               (  15 occurrences)
332. Deep                 (  15 occurrences)
333. Thrice               (  15 occurrences)
334. Save                 (  15 occurrences)
335. Yadu                 (  15 occurrences)
336. Keep                 (  15 occurrences)
337. Atithigva            (  15 occurrences)
338. Usana                (  15 occurrences)
339. Might                (  15 occurrences)
340. Among                (  15 occurrences)
341. Bearing              (  15 occurrences)
342. Disposer             (  15 occurrences)
343. Steers               (  15 occurrences)
344. Rbhuksan             (  15 occurrences)
345. Sama                 (  15 occurrences)
346. Prince               (  15 occurrences)
347. Worship              (  14 occurrences)
348. Nor                  (  14 occurrences)
349. Hundred              (  14 occurrences)
350. After                (  14 occurrences)
351. Firm                 (  14 occurrences)
352. Man                  (  14 occurrences)
353. Though               (  14 occurrences)
354. Etasa                (  14 occurrences)
355. Sarama               (  14 occurrences)
356. Praised              (  14 occurrences)
357. Babe                 (  14 occurrences)
358. Since                (  14 occurrences)
359. Slayer               (  14 occurrences)
360. Bhujyu               (  14 occurrences)
361. Pressed              (  14 occurrences)
362. Guerdon              (  14 occurrences)
363. Faith                (  14 occurrences)
364. Worthy               (  13 occurrences)
365. Verily               (  13 occurrences)
366. Soon                 (  13 occurrences)
367. Treasure             (  13 occurrences)
368. Sustainer            (  13 occurrences)
369. Oblation             (  13 occurrences)
370. Kaksivan             (  13 occurrences)
371. Four                 (  13 occurrences)
372. Others               (  13 occurrences)
373. Fill                 (  13 occurrences)
374. Free                 (  13 occurrences)
375. Manus                (  13 occurrences)
376. Long                 (  13 occurrences)
377. Turvasa              (  13 occurrences)
378. WHAT                 (  13 occurrences)
379. Worker               (  13 occurrences)
380. Children             (  13 occurrences)
381. Atharvan             (  13 occurrences)
382. Lovely               (  13 occurrences)
383. Cast                 (  13 occurrences)
384. Bharadvaja           (  13 occurrences)
385. Invoking             (  13 occurrences)
386. Ever                 (  13 occurrences)
387. Brother              (  13 occurrences)
388. Radiant              (  13 occurrences)
389. Vak                  (  13 occurrences)
390. Dadhikras            (  13 occurrences)
391. Rbhuksans            (  13 occurrences)
392. Hymns                (  12 occurrences)
393. YE                   (  12 occurrences)
394. Urged                (  12 occurrences)
395. Approach             (  12 occurrences)
396. VIII                 (  12 occurrences)
397. India                (  12 occurrences)
398. Priests              (  12 occurrences)
399. Favour               (  12 occurrences)
400. Chiefs               (  12 occurrences)
401. Making               (  12 occurrences)
402. Burn                 (  12 occurrences)
403. Caster               (  12 occurrences)
404. Worlds               (  12 occurrences)
405. First                (  12 occurrences)
406. People               (  12 occurrences)
407. Daksa                (  12 occurrences)
408. THESE                (  12 occurrences)
409. Sudhanvan            (  12 occurrences)
410. Kine                 (  12 occurrences)
411. Resplendent          (  12 occurrences)
412. Press                (  12 occurrences)
413. Laws                 (  12 occurrences)
414. Nirrti               (  12 occurrences)
415. Bountiful            (  12 occurrences)
416. Gold                 (  12 occurrences)
417. II                   (  11 occurrences)
418. III                  (  11 occurrences)
419. IV                   (  11 occurrences)
420. V                    (  11 occurrences)
421. VI                   (  11 occurrences)
422. VII                  (  11 occurrences)
423. IX                   (  11 occurrences)
424. X                    (  11 occurrences)
425. Welcome              (  11 occurrences)
426. XX                   (  11 occurrences)
427. XXIV                 (  11 occurrences)
428. Day                  (  11 occurrences)
429. Urge                 (  11 occurrences)
430. Forest               (  11 occurrences)
431. Destroy              (  11 occurrences)
432. Dasas                (  11 occurrences)
433. Navagvas             (  11 occurrences)
434. Driving              (  11 occurrences)
435. XL                   (  11 occurrences)
436. Host                 (  11 occurrences)
437. Skilled              (  11 occurrences)
438. Therewith            (  11 occurrences)
439. Pipru                (  11 occurrences)
440. Ayu                  (  11 occurrences)
441. Sacrificer           (  11 occurrences)
442. Invoked              (  11 occurrences)
443. Sole                 (  11 occurrences)
444. Vyasva               (  11 occurrences)
445. Rise                 (  11 occurrences)
446. Living               (  11 occurrences)
447. Speech               (  11 occurrences)
448. Pass                 (  11 occurrences)
449. Fort                 (  11 occurrences)
450. Various              (  11 occurrences)
451. Adhvaryu             (  11 occurrences)
452. GREAT                (  11 occurrences)
453. Champion             (  11 occurrences)
454. PDF                  (  10 occurrences)
455. L                    (  10 occurrences)
456. RIG                  (  10 occurrences)
457. VEDA                 (  10 occurrences)
458. BOOK                 (  10 occurrences)
459. XII                  (  10 occurrences)
460. XIII                 (  10 occurrences)
461. Narasamsa            (  10 occurrences)
462. XV                   (  10 occurrences)
463. XVI                  (  10 occurrences)
464. XVII                 (  10 occurrences)
465. XVIII                (  10 occurrences)
466. Ausija               (  10 occurrences)
467. XIX                  (  10 occurrences)
468. XXI                  (  10 occurrences)
469. XXII                 (  10 occurrences)
470. XXIII                (  10 occurrences)
471. XXV                  (  10 occurrences)
472. XXVI                 (  10 occurrences)
473. Whate                (  10 occurrences)
474. XXVII                (  10 occurrences)
475. XXVIII               (  10 occurrences)
476. Take                 (  10 occurrences)
477. XXIX                 (  10 occurrences)
478. XXX                  (  10 occurrences)
479. XXXI                 (  10 occurrences)
480. XXXII                (  10 occurrences)
481. XXXIII               (  10 occurrences)
482. XXXIV                (  10 occurrences)
483. XXXV                 (  10 occurrences)
484. XXXVI                (  10 occurrences)
485. XXXVIII              (  10 occurrences)
486. WHEN                 (  10 occurrences)
487. XLIII                (  10 occurrences)
488. Vimada               (  10 occurrences)
489. Yet                  (  10 occurrences)
490. Gotamas              (  10 occurrences)
491. LIKE                 (  10 occurrences)
492. Splendid             (  10 occurrences)
493. Young                (  10 occurrences)
494. Givers               (  10 occurrences)
495. Drop                 (  10 occurrences)
496. Winning              (  10 occurrences)
497. Rbhu                 (  10 occurrences)
498. Foe                  (  10 occurrences)
499. Prepare              (  10 occurrences)
500. Bow                  (  10 occurrences)
501. Guide                (  10 occurrences)
502. Seeking              (  10 occurrences)
503. Maker                (  10 occurrences)
504. Vibhvan              (  10 occurrences)
505. Charger              (  10 occurrences)
506. Races                (  10 occurrences)
507. Creator              (  10 occurrences)
508. Dadhikravan          (  10 occurrences)
509. Mountains            (  10 occurrences)
510. Guest                (  10 occurrences)
511. Onward               (  10 occurrences)
512. Vatsa                (  10 occurrences)
513. Vrsakapi             (  10 occurrences)
514. Purusa               (  10 occurrences)
515. Unto                 (   9 occurrences)
516. Win                  (   9 occurrences)
517. XI                   (   9 occurrences)
518. Show                 (   9 occurrences)
519. Doors                (   9 occurrences)
520. Rtu                  (   9 occurrences)
521. Offspring            (   9 occurrences)
522. Bharati              (   9 occurrences)
523. Universal            (   9 occurrences)
524. Refulgent            (   9 occurrences)
525. XXXVII               (   9 occurrences)
526. XXXIX                (   9 occurrences)
527. XLI                  (   9 occurrences)
528. XLII                 (   9 occurrences)
529. XLIV                 (   9 occurrences)
530. XLV                  (   9 occurrences)
531. XLVI                 (   9 occurrences)
532. XLVIII               (   9 occurrences)
533. XLIX                 (   9 occurrences)
534. LI                   (   9 occurrences)
535. Trta                 (   9 occurrences)
536. LIII                 (   9 occurrences)
537. Namuci               (   9 occurrences)
538. LIV                  (   9 occurrences)
539. LV                   (   9 occurrences)
540. LVI                  (   9 occurrences)
541. LVIII                (   9 occurrences)
542. Ordainer             (   9 occurrences)
543. BRING                (   9 occurrences)
544. Pouring              (   9 occurrences)
545. Hawk                 (   9 occurrences)
546. Spouse               (   9 occurrences)
547. Fly                  (   9 occurrences)
548. Break                (   9 occurrences)
549. THAT                 (   9 occurrences)
550. Aptya                (   9 occurrences)
551. Having               (   9 occurrences)
552. Truth                (   9 occurrences)
553. Lauded               (   9 occurrences)
554. Whereby              (   9 occurrences)
555. Dabhiti              (   9 occurrences)
556. Maid                 (   9 occurrences)
557. Cyavana              (   9 occurrences)
558. Purandhi             (   9 occurrences)
559. Parvata              (   9 occurrences)
560. Listen               (   9 occurrences)
561. Enjoy                (   9 occurrences)
562. Tristup              (   9 occurrences)
563. Bharata              (   9 occurrences)
564. XIV                  (   9 occurrences)
565. Turn                 (   9 occurrences)
566. Queen                (   9 occurrences)
567. Famed                (   9 occurrences)
568. Winner               (   9 occurrences)
569. DRINK                (   9 occurrences)
570. Rulers               (   9 occurrences)
571. Striving             (   9 occurrences)
572. Speeding             (   9 occurrences)
573. Evayamarut           (   9 occurrences)
574. Chariot              (   9 occurrences)
575. Vadhryasva           (   9 occurrences)
576. Fervour              (   9 occurrences)
577. Aided                (   8 occurrences)
578. Rtus                 (   8 occurrences)
579. Fulfil               (   8 occurrences)
580. Household            (   8 occurrences)
581. Spouses              (   8 occurrences)
582. Look                 (   8 occurrences)
583. Speed                (   8 occurrences)
584. Destruction          (   8 occurrences)
585. Longing              (   8 occurrences)
586. Etc                  (   8 occurrences)
587. Sovrans              (   8 occurrences)
588. Kind                 (   8 occurrences)
589. Sprung               (   8 occurrences)
590. Omniscient           (   8 occurrences)
591. Glorious             (   8 occurrences)
592. Whereon              (   8 occurrences)
593. Rjisvan              (   8 occurrences)
594. LVII                 (   8 occurrences)
595. LIX                  (   8 occurrences)
596. LX                   (   8 occurrences)
597. Bhrgu                (   8 occurrences)
598. Banner               (   8 occurrences)
599. LXI                  (   8 occurrences)
600. LXII                 (   8 occurrences)
601. Gotama               (   8 occurrences)
602. Purukutsa            (   8 occurrences)
603. Horse                (   8 occurrences)
604. Because              (   8 occurrences)
605. Aryan                (   8 occurrences)
606. Dadhyac              (   8 occurrences)
607. Singing              (   8 occurrences)
608. Bless                (   8 occurrences)
609. Director             (   8 occurrences)
610. Under                (   8 occurrences)
611. Rejoice              (   8 occurrences)
612. Ascend               (   8 occurrences)
613. Close                (   8 occurrences)
614. Birds                (   8 occurrences)
615. Rasa                 (   8 occurrences)
616. Sayu                 (   8 occurrences)
617. Agastya              (   8 occurrences)
